"site";"site_lot_nbab";"date";"semaine";"lot";"nbab";"num_jour";"pdsab_calc";"saison_exp";"cadre";"expo_lum";"expo_vent";"orientation";"type";"cause_mort";"race";"origine";"somme_precipitation_7";"somme_precipitation_3";"precipitation";"humidite";"temp_12h";"moy_temp";"precipitation_J1";"precipitation_J2";"precipitation_J3";"humidite_J1";"humidite_J2";"humidite_J3";"moy_temp_J1";"moy_temp_J2";"moy_temp_J3";"Departement";"Region";"meteo_km";"alt_meteo_m";"alt_site_m";"jour"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-08";"semaine1";"Lot 1";"300 Ab";0;122,0338983;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";14,9;12,8;0;89;20;20;6,3;6,5;1,5;89;95;96;22;19;17;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"0"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-09";"semaine1";"Lot 1";"300 Ab";1;118,3050847;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";16,6;8,1;1,8;99;15;15;0;6,3;6,5;89;89;95;20;22;19;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"1"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-10";"semaine1";"Lot 1";"300 Ab";2;114,5762712;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";17;2,7;0,9;93;12;12;1,8;0;6,3;99;89;89;15;20;22;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"2"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-11";"semaine1";"Lot 1";"300 Ab";3;110,8474576;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";17;2,7;0;77;17;17;0,9;1,8;0;93;99;89;12;15;20;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"3"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-12";"semaine1";"Lot 1";"300 Ab";4;106,779661;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";45;30,4;29,5;99;11;11;0;0,9;1,8;77;93;99;17;12;15;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"4"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-13";"semaine1";"Lot 1";"300 Ab";5;104,4067797;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";43,2;34,2;4,7;87;9;9;29,5;0;0,9;99;77;93;11;17;12;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"5"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-14";"semaine1";"Lot 1";"300 Ab";6;103,0508475;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";56,9;54,2;20;99;7;7;4,7;29,5;0;87;99;77;9;11;17;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"6"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-15";"semaine1";"Lot 1";"300 Ab";7;100,6779661;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";62,6;30,4;5,7;98;11;11;20;4,7;29,5;99;87;99;7;9;11;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"7"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-23";"semaine2";"Lot 1";"300 Ab";15;62,71186441;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";15,8;13,6;5,2;90;21;18,33333333;3,9;4,5;1,4;94;92;90;18;18;18;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"14"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-29";"semaine3";"Lot 1";"300 Ab";21;51,86440678;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";31,1;19,8;11,7;97;19;17,33333333;2,5;5,6;0,1;93;96;89;19;20,33333333;21,33333333;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"21"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-06-05";"semaine4";"Lot 1";"300 Ab";28;47,79661017;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";71,3;31,1;13,8;98;20;17;3,3;14;0,1;94;95;87;18,33333333;19,33333333;21;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"28"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-06-12";"semaine5";"Lot 1";"300 Ab";35;43,72881356;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";103,8;57,8;1,1;94;17;15,66666667;23,8;32,9;15;99;96;96;16;20;21;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"35"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-06-19";"semaine6";"Lot 1";"300 Ab";42;39,66101695;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";9,8;1,1;0,1;87;21;19,66666667;0,7;0,3;0,9;97;89;93;16,33333333;15,33333333;15,33333333;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"42"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-06-26";"semaine7";"Lot 1";"300 Ab";49;38,98305085;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";0;0;0;73;26;22;0;0;0;75;70;73;19;19;17,66666667;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"49"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-07-03";"semaine8";"Lot 1";"300 Ab";56;38,6440678;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";21,1;21,1;3;84;26;23,33333333;16,3;1,8;0;90;85;63;23,33333333;26;26,66666667;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"56"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-07-11";"semaine9";"Lot 1";"300 Ab";64;38,30508475;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";38,6;0;0;75;22;19,33333333;0;0;0;79;76;75;21;22,33333333;23;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"63"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-07-17";"semaine10";"Lot 1";"300 Ab";70;37,62711864;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";21,2;21,2;5,1;91;22;20,66666667;11,1;5;0;90;74;72;23;24,33333333;24;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"70"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-07-24";"semaine11";"Lot 1";"300 Ab";77;36,94915254;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";2,9;0,1;0;71;30;25,33333333;0;0,1;0,3;66;78;80;22,66666667;20,33333333;17,66666667;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"77"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-07-31";"semaine12";"Lot 1";"300 Ab";84;36,94915254;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";25,2;17,8;7,4;84;25;23;0;10,4;6;76;95;91;24,66666667;19,33333333;24;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"84"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-08-08";"semaine13";"Lot 1";"300 Ab";92;36,94915254;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";3;0,2;0,1;74;25;22;0,1;0;1,5;57;57;56;27;29;26,33333333;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"91"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-08-14";"semaine14";"Lot 1";"300 Ab";98;36,94915254;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";12,2;4,3;1,6;90;21;19,33333333;2,3;0,4;0;93;50;63;18;23,66666667;21,33333333;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"98"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-08-21";"semaine15";"Lot 1";"300 Ab";105;36,94915254;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";1,5;0;0;68;26;23,33333333;0;0;0,1;66;54;63;22;22;19,66666667;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"105"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-08-28";"semaine16";"Lot 1";"300 Ab";112;36,94915254;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";6,5;0,2;0;70;30;26;0,1;0,1;5,6;81;75;95;18,33333333;17,33333333;12,66666667;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"112"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-09-04";"semaine17";"Lot 1";"300 Ab";119;36,94915254;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";5,2;0;0;72;24;20;0;0;0;68;58;59;19,33333333;18;18;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"119"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-05-08";"semaine1";"Lot 2";"300 Ab";0;121,086262;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";14,9;12,8;0;89;20;20;6,3;6,5;1,5;89;95;96;22;19;17;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"0"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-05-09";"semaine1";"Lot 2";"300 Ab";1;117,571885;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";16,6;8,1;1,8;99;15;15;0;6,3;6,5;89;89;95;20;22;19;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"1"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-05-10";"semaine1";"Lot 2";"300 Ab";2;114,057508;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";17;2,7;0,9;93;12;12;1,8;0;6,3;99;89;89;15;20;22;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"2"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-05-11";"semaine1";"Lot 2";"300 Ab";3;110,8626198;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";17;2,7;0;77;17;17;0,9;1,8;0;93;99;89;12;15;20;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"3"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-05-12";"semaine1";"Lot 2";"300 Ab";4;107,9872204;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";45;30,4;29,5;99;11;11;0;0,9;1,8;77;93;99;17;12;15;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"4"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-05-13";"semaine1";"Lot 2";"300 Ab";5;105,4313099;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";43,2;34,2;4,7;87;9;9;29,5;0;0,9;99;77;93;11;17;12;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"5"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-05-14";"semaine1";"Lot 2";"300 Ab";6;104,1533546;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";56,9;54,2;20;99;7;7;4,7;29,5;0;87;99;77;9;11;17;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"6"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-05-15";"semaine1";"Lot 2";"300 Ab";7;101,5974441;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";62,6;30,4;5,7;98;11;11;20;4,7;29,5;99;87;99;7;9;11;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"7"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-05-23";"semaine2";"Lot 2";"300 Ab";15;62,93929712;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";15,8;13,6;5,2;90;21;18,33333333;3,9;4,5;1,4;94;92;90;18;18;18;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"14"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-05-29";"semaine3";"Lot 2";"300 Ab";21;54,95207668;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";31,1;19,8;11,7;97;19;17,33333333;2,5;5,6;0,1;93;96;89;19;20,33333333;21,33333333;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"21"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-06-05";"semaine4";"Lot 2";"300 Ab";28;48,88178914;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";71,3;31,1;13,8;98;20;17;3,3;14;0,1;94;95;87;18,33333333;19,33333333;21;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"28"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-06-12";"semaine5";"Lot 2";"300 Ab";35;44,7284345;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";103,8;57,8;1,1;94;17;15,66666667;23,8;32,9;15;99;96;96;16;20;21;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"35"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-06-19";"semaine6";"Lot 2";"300 Ab";42;40,25559105;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";9,8;1,1;0,1;87;21;19,66666667;0,7;0,3;0,9;97;89;93;16,33333333;15,33333333;15,33333333;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"42"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-06-26";"semaine7";"Lot 2";"300 Ab";49;39,93610224;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";0;0;0;73;26;22;0;0;0;75;70;73;19;19;17,66666667;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"49"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-07-03";"semaine8";"Lot 2";"300 Ab";56;39,61661342;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";21,1;21,1;3;84;26;23,33333333;16,3;1,8;0;90;85;63;23,33333333;26;26,66666667;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"56"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-07-11";"semaine9";"Lot 2";"300 Ab";64;38,97763578;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";38,6;0;0;75;22;19,33333333;0;0;0;79;76;75;21;22,33333333;23;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"63"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-07-17";"semaine10";"Lot 2";"300 Ab";70;38,65814696;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";21,2;21,2;5,1;91;22;20,66666667;11,1;5;0;90;74;72;23;24,33333333;24;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"70"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-07-24";"semaine11";"Lot 2";"300 Ab";77;38,01916933;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";2,9;0,1;0;71;30;25,33333333;0;0,1;0,3;66;78;80;22,66666667;20,33333333;17,66666667;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"77"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-07-31";"semaine12";"Lot 2";"300 Ab";84;38,01916933;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";25,2;17,8;7,4;84;25;23;0;10,4;6;76;95;91;24,66666667;19,33333333;24;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"84"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-08-08";"semaine13";"Lot 2";"300 Ab";92;38,01916933;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";3;0,2;0,1;74;25;22;0,1;0;1,5;57;57;56;27;29;26,33333333;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"91"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-08-14";"semaine14";"Lot 2";"300 Ab";98;38,01916933;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";12,2;4,3;1,6;90;21;19,33333333;2,3;0,4;0;93;50;63;18;23,66666667;21,33333333;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"98"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-08-21";"semaine15";"Lot 2";"300 Ab";105;38,01916933;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";1,5;0;0;68;26;23,33333333;0;0;0,1;66;54;63;22;22;19,66666667;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"105"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-08-28";"semaine16";"Lot 2";"300 Ab";112;38,01916933;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";6,5;0,2;0;70;30;26;0,1;0,1;5,6;81;75;95;18,33333333;17,33333333;12,66666667;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"112"
"Site Audureau";"Site Audureau - Lot 2 - 300 Ab";"2018-09-04";"semaine17";"Lot 2";"300 Ab";119;38,01916933;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";5,2;0;0;72;24;20;0;0;0;68;58;59;19,33333333;18;18;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"119"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-06-05";"semaine1";"Lot 1";"300 Ab";0;126,5306122;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";9,8;2,6;0,6;85;25;21,33333333;0,5;1,5;0,1;86;85;87;21,33333333;21,66666667;21,66666667;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"0"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-06-06";"semaine1";"Lot 1";"300 Ab";1;118,3673469;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";7,3;1,9;0,8;86;23;20,33333333;0,6;0,5;1,5;85;86;85;21,33333333;21,33333333;21,66666667;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"1"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-06-07";"semaine1";"Lot 1";"300 Ab";2;110,6122449;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";5,1;1,7;0,3;84;26;22;0,8;0,6;0,5;86;85;86;20,33333333;21,33333333;21,33333333;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"2"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-06-08";"semaine1";"Lot 1";"300 Ab";3;107,755102;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";3,9;1,2;0,1;85;24;22;0,3;0,8;0,6;84;86;85;22;20,33333333;21,33333333;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"3"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-06-09";"semaine1";"Lot 1";"300 Ab";4;103,2653061;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";3,8;0,4;0;84;27;23;0,1;0,3;0,8;85;84;86;22;22;20,33333333;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"4"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-06-10";"semaine1";"Lot 1";"300 Ab";5;98,36734694;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";2,3;0,1;0;83;27;23,66666667;0;0,1;0,3;84;85;84;23;22;22;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"5"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-06-11";"semaine1";"Lot 1";"300 Ab";6;93,87755102;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";4,4;2,6;2,6;87;24;21;0;0;0,1;83;84;85;23,66666667;23;22;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"6"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-06-12";"semaine1";"Lot 1";"300 Ab";7;91,42857143;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";7,1;5,9;3,3;90;22;19,66666667;2,6;0;0;87;83;84;21;23,66666667;23;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"7"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-06-19";"semaine2";"Lot 1";"300 Ab";14;69,79591837;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";1;0;0;83;24;22;0;0;0,1;78;85;87;20;19,66666667;21;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"14"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-06-26";"semaine3";"Lot 1";"300 Ab";21;45,30612245;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";0;0;0;86;25;22,33333333;0;0;0;83;80;77;21;20,66666667;19;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"21"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-07-03";"semaine4";"Lot 1";"300 Ab";28;33,06122449;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";0,1;0,1;0,1;57;31;27,66666667;0;0;0;64;47;69;26,66666667;28,66666667;28;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"28"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-07-08";"semaine5";"Lot 1";"300 Ab";33;32,65306122;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";0,4;0,1;0;58;28;25;0;0,1;0,2;61;66;71;24,33333333;22,66666667;24;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"35"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-07-13";"semaine6";"Lot 1";"300 Ab";38;31,83673469;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";0;0;0;49;31;26,33333333;0;0;0;60;64;61;22,33333333;20,66666667;24;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"42"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-07-20";"semaine7";"Lot 1";"300 Ab";45;31,83673469;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";10,3;2,7;2,3;76;33;29;0,3;0,1;0,1;52;54;60;27,66666667;26;25;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"49"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-08-01";"semaine8";"Lot 1";"300 Ab";57;31,42857143;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";4,2;3,2;2,2;49;25;27,66666667;1;0;1;55;58;58;29;28,33333333;29,66666667;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"56"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-08-08";"semaine9";"Lot 1";"300 Ab";64;31,83673469;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";6,3;4,3;0,7;60;31;27,66666667;1,8;1,8;0,1;56;50;49;28,66666667;30,33333333;29,66666667;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"63"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-08-15";"semaine10";"Lot 1";"300 Ab";71;31,83673469;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";57,9;10,3;0;62;26;22,66666667;0,1;10,2;0,1;68;81;47;22;23,66666667;26;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"70"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-08-22";"semaine11";"Lot 1";"300 Ab";78;31,83673469;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";1,4;0,5;0,5;60;32;28;0;0;0;70;52;58;25;24,33333333;23,66666667;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"77"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-08-28";"semaine12";"Lot 1";"300 Ab";84;31,83673469;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";1,6;0;0;62;31;26,33333333;0;0;0,2;43;55;64;22,66666667;17,33333333;16;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"84"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-09-04";"semaine13";"Lot 1";"300 Ab";91;32,24489796;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";2,3;0;0;64;25;21,33333333;0;0;0;62;64;60;21;19;18;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"91"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-09-12";"semaine14";"Lot 1";"300 Ab";99;31,83673469;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";2,2;0,1;0,1;53;29;25;0;0;0;48;54;58;26,66666667;24,33333333;23,66666667;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"98"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-09-19";"semaine15";"Lot 1";"300 Ab";106;31,42857143;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";0;0;0;63;28;24,66666667;0;0;0;67;63;58;23;23,33333333;21,66666667;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"105"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-09-26";"semaine16";"Lot 1";"300 Ab";113;30,20408163;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";0;0;0;51;23;18,33333333;0;0;0;48;64;49;15,66666667;15,33333333;24;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"112"
"Site Gilles";"Site Gilles - lot 1 - 300 Ab";"2018-10-03";"semaine17";"Lot 1";"300 Ab";120;32,24489796;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CA";3,5;0,4;0;70;18;14,66666667;0;0,4;3,1;56;68;76;12;12,66666667;16,66666667;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"119"
"Site Gilles";"Site Gilles - lot 2 - 300 Ab";"2018-06-08";"semaine1";"Lot 2";"300 Ab";0;130,6930693;"printemps";"sans";"mi_soleil";"mi";"E";"ruchette";"sanitaire";"Hybride";"CB";3,9;1,2;0,1;85;24;22;0,3;0,8;0,6;84;86;85;22;20,33333333;21,33333333;"Isere";"Auvergne Rhone Alpes";17,4;167;264;"0"
